Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years,Dividend yield,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Price to book value,Return over 6months
Banaras Beads,526849,BANARBEADS,Glass & Glass Products,102.82,24.72,48.32,4.14,58.14,0.06,0.77,35.09,8.69,-1.36,6.99,7.09,9.36,2.74,28.22,11.3,10.27,7.87,6.79,18.76,7.8,0.6,4.94,4.97,5.12,23.66,20.68,18.5,4.74,4.63,26.97,0.46,3.64,2.75,0.6,2.49,-4.49,-5.67,-11.12,-5.76,6.99,6.9,1.95,-11.92,-17.59,-12.83,1.26,0.02
Banas Finance,509053,,Finance & Investments,10.5,21.42,24.42,0.46,26.58,0.04,-14.4,-147.12,32.56,349.72,9.15,21.02,40.1,4.39,66.64,66.45,,108.19,-27.79,,,,,4.55,2.85,-15.87,24.74,22.28,2.69,230.23,20.18,,-100.29,4.39,,6.57,-5.51,-0.83,-5.7,13.35,9.15,9.37,0,13.35,28.28,,0.65,-24.73
Banco Products,500039,BANCOINDIA,Auto Ancillaries,676.55,17.88,37.01,37.95,67.88,0.4,68.16,33.57,723.87,18.8,25.3,26.55,15.25,271.4,2768.43,21.79,12.06,14.67,33.6,31.49,17.94,11.69,18.97,22.58,26.44,121.09,62.37,41.71,13.98,18.72,2331.82,12.17,365.55,271.4,9.51,169.4,366.83,-134.98,-6.13,216.51,25.3,21.54,3.25,473.87,682.8,844.25,4.6,-1.25
Bandhan Bank,541153,BANDHANBNK,Banks - Private Sector,200.76,14.43,12.51,13.84,39.98,6.78,54.63,-93.24,5189.34,21.58,6.17,7.54,49.4,2229.56,18869.62,14.64,23.22,1.57,0.38,2.7,10.45,,11.51,8.21,11.38,-10.56,-13.58,-18.14,1.43,18.64,15904.7,25.22,7212.15,2229.56,,1956.23,14252.14,-4654.43,-1071.3,10289.09,6.17,7.67,0.73,11465.99,17139.82,17236.42,1.66,-12.17
Bang Overseas,532946,BANG,Trading,47.04,,34.42,-6.18,72.98,0.3,-0.38,-3900,36.8,12.3,1.04,-5.62,-6.33,-8.38,133.72,32.83,-4.45,-828.7,,,,4.2,0.29,-0.72,-8.96,18.55,2,6.44,-5.18,13.97,117.33,-3.61,3.99,-8.38,-3.66,0.27,-15.77,9.49,-0.59,-19.76,1.04,1.47,0,-16.15,-11.4,-1.71,0.72,-19.71
Bank of Baroda,532134,BANKBARODA,Banks - Public Sector,261.7,7.21,9.46,36.29,63.97,12.14,5160.3,-2.34,31072.17,14.25,5.17,6.33,62.51,18761.1,118379.22,16.79,17.48,25.99,144.18,76.82,40.47,14.14,9.87,13.93,16.69,28.66,46.26,15.74,1.19,25.27,94502.62,15.01,56271.34,18868.87,11.33,8742.11,-7152.75,-22139.91,-27855.21,-26487.44,5.17,4.97,2.9,-21417.26,-3773.75,-64914.52,1.13,15.77
Bank of India,532149,BANKINDIA,Banks - Public Sector,123.66,8.62,9.46,14.42,73.38,11.64,1573.81,11.5,16250.46,19.95,4.75,5.69,69.14,6536.01,61073.34,14.34,8.29,76.46,47.9,25.52,30.5,8.15,4.56,7.59,9.98,58.03,17.95,7.32,0.75,27.42,47931.69,6.39,26754.69,6566.57,4.82,2474.5,-5263.9,-7568.71,-7025.61,-48868.01,4.75,4.43,2.26,-46968.89,-13927.97,-30512.07,0.8,2.2
Bank of Maha,532525,MAHABANK,Banks - Public Sector,64.78,11.27,9.46,5.75,86.46,14.01,1229.87,46.32,5466.73,21.61,4.7,5.38,59.81,4070.91,20494.85,19.97,13.57,56.39,92.46,23.34,25.86,26.15,13.33,17.04,22.83,105.32,38.75,32.19,1.42,28.91,15898.6,7.87,9584.3,4071.78,5.54,1758.27,11305.36,-1617.21,-1387.07,16282.52,4.7,4.62,2.16,17037.27,20177.45,7611.54,2.31,40.98
Bannari Amm Spg.,532674,BASML,Textiles - Cotton/Blended,49.91,,28.02,-3.39,55.33,1.27,-10.76,-9.7,248.25,-24.42,6.23,1.89,3.25,-22.15,923.52,-3.21,-4.69,-0.77,-24,,,,-0.46,0.71,-5.4,10.06,1.18,0.52,-1.76,-33.95,1398.28,0.88,52.61,-14.13,2.83,-1.68,112.85,-42.73,-8.66,94.83,6.23,5.93,0,182.4,482.03,571.55,0.81,-9.25
Bannari Amm.Sug.,500041,BANARISUG,Sugar,3273.3,26.98,16,121.45,58.7,0.29,21.83,-56.27,421.16,-35.84,10.19,11.86,13.8,152.3,2220.32,12.42,14.57,6.22,19.42,15.15,0.7,17,7.98,8.39,9.4,17.96,22.42,18.32,6.35,-12.09,2525.58,3.44,304.21,152.3,13.05,112.48,134.55,438.05,2.84,527.6,10.19,9.06,0.38,809.01,987.53,1383.94,2.44,29.19
