Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years,Dividend yield,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Price to book value,Return over 6months
Nucleus Soft.,531209,NUCLEUS,Computers - Software - Medium / Small,1401.85,22.44,38.53,71.56,73.27,0.01,52.14,-22.93,210.26,1.97,21.76,31.98,26.67,166.83,826.45,17.19,11.29,49.09,17.73,18.47,14.26,10.56,16.51,16.67,24.04,29.82,26.76,33.78,16.78,30.26,634.46,12.06,156.77,191.6,9.09,98.39,194.11,46.53,14.74,274.31,21.76,21.55,0.89,329.54,519.17,652.19,4.83,-5.37
O N G C,500312,ONGC,Oil Drilling / Allied Services,297.45,7.44,20.1,39.13,58.89,0.45,11526.53,28.88,166770.63,1.65,16.06,18.44,15.99,50269.36,643037.01,28.39,8.81,31.76,47.11,9.86,11.1,6.67,13.36,16.51,16.28,82.76,36.13,14.21,8.81,1.7,632291.18,12.47,75526.99,57100.84,13.96,33210.27,61597.94,47757.73,-1503.98,154513.49,16.06,13.56,3.78,261722.26,379500.43,497750.13,1.11,40.41
Oberoi Realty,533273,OBEROIRLTY,Construction,1717.8,35.57,37.63,52.99,67.7,0.18,788.03,64.07,1314.77,36.75,14.35,15.24,54.05,1757.32,4495.79,29.87,11.73,-6.43,33.62,17.17,24.74,19.13,11.81,13.64,13.49,68.75,36.83,25.36,9.19,7.23,4192.58,22.06,2111.66,1926.6,18.87,1218.1,2132.94,-2984.66,64.32,-989.16,14.35,12.63,0.47,1495.54,1909.57,1852.92,4.51,10.95
Oil India,533106,OIL,Oil Drilling / Allied Services,509.15,10.56,20.1,38.95,56.66,0.5,2332.94,22.46,9147.01,16.5,21.26,17.73,38.51,7846.86,32466.03,22.6,18.7,-9.91,27.54,14.72,18.45,10.13,19.88,21.02,18.08,199.68,63.89,34.38,10.4,-10.06,36097.38,19.07,15268.07,6980.45,12.85,6146.09,2101.96,2885.86,-240.89,8329.4,21.26,18.35,2.62,31653.12,43380.94,52337.09,1.71,104.34
Olectra Greentec,532439,OLECTRA,Automobiles - LCVs / HCVs,1905.5,203.76,27.79,9.36,50.02,0.13,14.89,-49.24,288.81,-23.17,12.04,14.79,14.37,76.83,1154.14,60.07,46.66,17.15,111.68,46.55,37.14,41.25,4.82,7.34,8.76,47.94,98.33,57.38,5,5.81,1090.76,40.86,141.28,78.65,30.54,36.97,63.96,-74.78,-12.94,42.72,12.04,8.05,0.02,254.14,244.3,7.47,17.12,11.74
Omni Ax's,532340,,Computers - Software - Medium / Small,3.95,,38.53,-0.06,0,0,-0.03,,0.01,-66.67,-1.19,-0.86,-166.67,-0.1,0.06,,-3.04,33.33,11.2,-5.59,0,,-1.26,-1.19,-0.86,14.49,22.48,16.13,-0.82,0,0.06,,-0.15,-0.1,-4.98,-0.15,0,0.04,0.04,0.04,-1.19,-1.25,0,0.04,0.04,0.1,0.59,8.82
Optiemus Infra.,530135,OPTIEMUS,Trading,407.85,61.86,34.42,6.61,74.89,0.38,24.04,39.61,490.1,43.94,10.45,15.42,5.15,56.76,1527.72,103.42,5.43,35.79,9.3,24.2,37.21,1.55,3.4,8.95,14.03,80.99,32.46,44.79,5.03,30.14,1173.88,-0.09,17.88,56.76,-9.41,11.24,-20.61,-99.15,-11,-134.4,10.45,0.8,0.37,69.18,57.11,104,8.21,29.95
Oracle Fin.Serv.,532466,OFSS,Computers - Software - Medium / Small,10368.9,40.53,38.53,256.07,72.75,0.01,560.12,16.86,1642.44,11.69,36.9,39.54,43.66,2219.53,6372.96,8.54,5.15,22.88,8,9.88,8.87,5.03,26.59,26.99,28.98,176.28,38.02,25.86,23.53,11.84,5698.31,5.34,2471.39,2219.36,5.47,1827.73,1760.6,1720.44,360.11,5301.01,36.9,37.39,2.31,5405.24,8846.57,11383.6,11.44,139.63
Orient Cement,535754,ORIENTCEM,Cement - South India,304.85,35.76,25.54,8.53,37.9,0.1,68.2,1.22,888.03,1.37,17.04,16.12,14.1,174.85,3185.09,11.08,4.78,42.34,-6.38,29.77,33.6,5.59,12.37,12.04,10.45,122.52,28.55,22.86,6.1,8.43,2937.54,7.87,364.57,174.85,8.29,171.96,347.63,-18.37,26.36,800.64,17.04,16.26,0.74,1060.84,2066.66,2627.11,3.58,13.47
Orient Electric,541301,ORIENTELEC,Domestic Appliances,271.05,93.79,92.17,3.53,38.31,0.17,12.8,-48.01,787.66,19.72,22.34,14.08,5.13,61.66,2812.12,11.43,8.57,-18.61,-19.89,-2.62,26.61,,19.17,15.78,10.08,3.34,-4.64,10.72,4.54,11.19,2529.17,44.24,150.98,75.27,,92.54,-21.7,76.14,13.66,23.52,22.34,26.38,0.55,319.36,875.88,1099.14,9.05,14.98
Oriental Aromat.,500078,OAL,Chemicals,426.6,157.78,42.14,2.7,74.17,0.33,10.12,750.42,216.48,10.82,6.91,4.06,5.61,9.1,836.4,5.67,2.08,-53.95,-55.39,-31.18,-14.92,,9.81,4.51,1.45,29.41,-20.72,16.99,0.92,-2.02,853.64,8.99,54.24,9.1,,54.21,42.83,-68.77,9.38,-86.2,6.91,13.23,0.12,118.69,316.97,309.58,2.27,2.31
Orissa Minerals,590086,ORISSAMINE,Mining / Minerals / Metals,7205,,23.01,-17.58,50.01,,2.32,126.1,28.28,257.52,-1.45,-1.48,3.76,-11,55.26,,,58.08,20.95,14.06,,,,,,83.15,30.62,59.46,-4.09,47.2,82.68,,25.38,-16.54,,-121.19,-60.49,80.44,31.26,-5.71,-1.45,-31.19,0,18.21,-673.08,-771.58,,1.13
P & G Health Ltd,500126,PGHL,Pharmaceuticals - Multinational,5130,39.78,44.6,128.93,51.82,0.01,46.56,-21.34,252.48,-21.33,37.56,45.47,25.94,214.02,1168.56,-3.21,11.99,-11.14,-3.69,22.7,22.81,11.31,37.44,27.88,33.49,1.33,-2.84,4.16,23.02,-4.56,1114.41,3.92,268.22,229.47,5.99,337.59,198.26,131.97,-144.65,526.12,37.56,44.02,1.85,652.78,757.76,918.46,10.57,-0.05
P I Industries,523642,PIIND,Pesticides / Agrochemicals - Indian,3863.2,34.84,42.15,110.83,46.09,0.02,369.5,31.68,1741,11.2,20.92,23.81,26.28,1681.5,7665.8,18.76,21.96,36.75,31.57,33.08,20.37,24.29,18.47,18.45,21.11,5,8.89,27.67,17.48,18.08,6492,18.94,1544.4,1681.5,16.99,989.81,1416.9,1178.9,522.1,2788.3,20.92,21.57,0.39,4066,5489,6199.2,6.71,10.83
Page Industries,532827,PAGEIND,Textiles - Products,39417.6,77.21,32.72,510.31,45.11,0.12,108.2,38.1,995.35,3.19,55.34,45.03,19.04,569.19,4581.67,17.38,9.94,-0.34,18.63,8.1,11.46,14.07,44.13,45.32,38.36,8.34,7.92,13.59,21.18,-4.32,4788.64,11.57,864.02,569.19,14.45,472.25,985.84,-165.4,-144.92,1049.47,55.34,53.55,0.94,1405.77,2618.35,3300.83,27.53,7.06
Paisalo Digital,532900,PAISALO,Finance & Investments,73.85,37.14,24.42,1.99,47.57,2,36.61,54.6,195.29,65.51,12.51,14.06,78.05,178.63,658.75,23.96,12.81,84.59,45.78,25.94,19.32,12.3,9.82,10.94,14.34,200.81,34.03,30.84,4.78,39.78,471.29,13.94,342.6,178.97,11.69,93.29,-573.37,-457.25,18.77,-1428.3,12.51,12.23,0.07,-1418.3,-1481.02,-1865.79,4.99,40.8
Panacea Biotec,531349,PANACEABIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,144.58,,36.02,-0.24,73.59,0.02,-1.99,-298.29,136.46,5.84,-6.67,-3.6,-3.59,-34.55,559.17,-3.63,4.13,63.13,20.87,13.46,5.39,6.49,,-16.05,-4.1,15.62,-27.33,0.91,-2.75,21.57,459.95,0.39,-97.95,-1.5,0.92,-126.54,-71.14,-423.89,-10.5,-613.99,-6.67,-2.04,0,-531,-454.71,-231.89,1.05,-23.32
Paras Defence,543367,PARAS,Engineering,1471.05,191.06,96.54,8.22,58.94,0.15,9.6,-10.78,79.69,22.41,11.77,9.8,20.12,30.03,253.5,20.93,10.42,-16.56,24.13,9.58,,,8.75,8.33,7,131.33,,,5.18,13.97,222.43,,57.71,30.03,,25.7,-71.38,21.95,14.93,-43.91,11.77,11.99,0,11.68,13.37,,13.02,88.33
Patanjali Foods,500368,PATANJALI,Solvent Extraction,1649,78.31,22.6,21.14,73.77,0.1,206.32,-21.76,8221.66,4.43,13.61,11.05,4.03,765.15,31721.35,24.8,20.04,-14.18,4.02,58.18,14.55,53.64,,10.63,7.63,36.35,14.21,224.97,5.77,0.62,31524.66,7.99,1293.52,765.15,2.67,673.95,1648.67,-432.77,428.14,1906.32,13.61,11.83,0.36,2131.12,2311.12,3432.41,5.85,0.13
PB Fintech.,543390,POLICYBZR,Computers - Software - Medium / Small,1425.1,1008.99,38.53,1.48,0,0.04,60.19,772.51,1089.57,25.37,-9.28,1.75,-5.48,64.41,3437.68,57.1,47.51,113.22,33.16,16.75,,,-10.44,-8.46,1.14,101.41,,,0.99,34.4,2557.85,,-661.46,64.41,,-361.66,-54.54,-362.84,-295.06,-2016.33,-9.28,-14.65,0,-1858.2,-2193.49,-2558.83,10.96,69.28
PCBL Ltd,506590,PCBL,Chemicals,268.25,20.61,42.14,13.01,51.41,1.53,110.95,8.59,1928.78,40.4,16.41,14.16,16.16,490.94,6419.77,34.14,12.72,14.89,16.54,5.42,32.61,22.69,16.71,16.64,16.16,64.52,31.18,37.78,5.87,11.18,5774.06,18.76,731.24,491.11,10.92,385.33,572.51,-391.61,-78.42,165.12,16.41,16.51,2.05,1899.91,2816.97,3399.43,3.12,1.17
Persistent Sys,533179,PERSISTENT,Computers - Software - Large,4637.75,66.81,31.5,70.98,31.02,0.09,315.32,25.37,2590.53,14.91,28.59,29.17,17.06,1070.24,9821.59,32.86,23.88,15.28,35.94,26.93,19.77,15.85,21.14,23.74,23.99,95.35,49.52,72.35,15.24,17.62,8350.59,19.16,1519.12,1093.49,19.39,683.34,942.26,523.66,169.21,1930.11,28.59,25.18,0.56,3022.06,4109.58,4963.08,14.41,25.5
Petronet LNG,532522,PETRONET,Miscellaneous,334.6,14.19,18.17,23.57,50,0.18,737.58,20.08,13793.16,-0.58,27.58,26.39,9.87,3536.2,52728.43,26.54,6.55,9.14,6.23,10.4,10.98,17.51,24.55,23.74,22.17,46.4,14.31,5.98,14.88,-11.97,59899.35,11.5,4855.89,3536.2,3.4,3165.87,4031.74,1462.18,-984.88,8893.7,27.58,27.93,2.99,10864.5,17286.84,22423.89,2.96,45.23
Pfizer,500680,PFIZER,Pharmaceuticals - Multinational,4711.7,39.46,44.6,120.52,63.92,0.01,178.86,26.56,546.63,-4.54,25.74,21.89,28.97,545.46,2193.17,-0.68,1.05,-9.24,3.11,4.92,11.57,9.52,18.24,19.39,16.04,24.22,-6.26,8.39,13.26,-9.55,2424.76,1.57,808.95,551.33,7.03,553.07,237.93,291.92,-26.16,1183.68,25.74,24.2,0.74,1279.6,2030.11,2459.72,5.99,8.73
Phoenix Mills,503100,PHOENIXLTD,Construction,3994.2,65.31,37.63,61.51,47.28,0.49,391.58,49.83,1305.95,79.13,9.3,12.6,54.73,1099.21,3977.69,56.41,15.01,28.36,180.32,23.77,30.53,24.85,8.52,9.88,12.32,155.18,68.01,43.95,7.26,52.06,2615.85,11.85,1519.99,1332.75,10.68,513.99,488.61,-468.5,-35.2,-426.42,9.3,8.11,0.12,4298.39,5468.96,7333.43,7.55,64.62
Pidilite Inds.,500331,PIDILITIND,Chemicals,3112.65,88.85,42.14,34,69.77,0.05,304.29,23.66,2901.85,7.91,26.27,29.72,21.83,1781.27,12382.99,19.3,11.84,39.94,16.28,13.67,10.94,14.88,21.89,20.7,22.81,19.96,10.98,21.27,15.92,4.95,11799.1,11.96,1986.09,1747.42,11.2,1311.15,2171.08,1059.85,2.19,3812.33,26.27,28.01,0.51,5236.97,7908.65,9549.86,18.83,13.62
Pilani Invest.,539883,PILANIINVS,Finance & Investments,5007.8,33.32,24.42,150.34,57.55,0.06,31.44,-58.12,63.27,16.89,2.16,2.01,96.44,166.46,286.31,12.95,62.63,-32.31,19.86,-39.28,21.44,16.79,1.88,1.78,1.29,163.99,37.56,28.53,1.15,2.7,278.77,35.25,272.01,166.46,20.23,177.08,-30.94,417.43,-3.22,286.12,2.16,2.19,0.3,286.14,-1543.81,-1508.3,0.38,62.21
PNC Infratech,539150,PNCINFRA,Construction,526.7,14.88,23.11,35.45,56.07,1.55,395.89,171.19,2600.15,12.81,15.38,16.06,23.17,909.42,8649.87,14.33,18.04,41.8,24.7,22.36,34.01,33.47,18.16,17.51,19.21,45.55,18.87,20.84,6.44,8.72,7956.08,21.19,1600.04,909.42,20.32,621.94,-277.67,-1510.25,-106.05,-2346.64,15.38,16.79,0.1,-2183.9,-1469.31,-680.76,2.63,34.17
Poly Medicure,531768,POLYMED,Healthcare,2140.05,79.59,45.18,26.91,53.15,0.12,68.36,16.24,378.07,23.21,19.5,23.43,26.04,258.26,1375.8,20.55,17.66,49.99,24.09,31.89,24.97,21.06,17.23,16.1,19.05,86.98,29.4,64.4,15.03,23.42,1114.75,17.15,267.41,258.26,15.64,160.42,-9.02,-48.29,-0.7,-87.91,19.5,20.99,0.14,580.38,827.41,1008.85,13.97,46.18
Polycab India,542652,POLYCAB,Cables - Power,6454.15,56.51,39.26,118.75,65.24,0.02,553.47,28.46,5591.9,29.33,26.5,31.33,13.81,1717.38,18039.44,27.07,17.7,41.34,25.46,28.07,33.04,34.4,20.7,20.51,23.17,84.58,49.83,60.32,16.15,27.87,14107.78,18.49,1842.85,1802.92,16.3,1088.19,438.27,969.11,-2.2,1398.99,26.5,26.52,0.46,3235.37,4732.13,6324.53,11.92,68.79
Polyplex Corpn,524051,POLYPLEX,Packaging,1064.2,88.19,27.95,12.05,26.7,0.21,31.37,10.64,1678.69,0.7,11.06,1.8,5.79,37.83,6306.87,8.64,6.66,-89.14,-58.04,-35.16,-21.01,22.29,10.72,9.47,1.08,-18.79,-10.22,16.49,1.17,-17.58,7652.28,10.17,947.18,86.38,7.11,343.64,-55.94,531.59,160.16,635.23,11.06,12.69,2.16,1816.75,3650.28,4508.52,0.95,-5.15
Poonawalla Fin,524000,POONAWALLA,Finance & Investments,417.2,30.94,24.42,21.73,62.13,1.86,331.7,84.31,915,58.65,7.9,10.8,83.76,1044.41,5417.98,32.69,17.14,120.99,56.98,28.02,87.73,21.26,5.24,9.69,13.9,14.96,38.67,31.22,4.42,148.88,2176.97,11.53,1339.16,1683.06,9.46,244.32,-7548.47,-5132.46,401.48,-15592.78,7.9,7.05,0.48,-15493.58,-12851.04,-13384.79,3.96,-15.1
Popees Care,530565,,Trading,111.03,,58.63,-4.04,21.62,0,-2.35,-7733.33,0,,-96.56,-278.61,,-2.45,0,,,-1941.67,,,,,-26.22,-47.75,-247.47,2464.2,201.53,117.52,-178.83,,0,,-0.12,-2.45,,-0.57,-0.01,0,0,-0.01,-96.56,-58.88,0,0,0.01,0.03,,62.13
Power Fin.Corpn.,532810,PFC,Finance - Term-Lending Institutions,550.15,9.19,31.38,59.88,55.99,8.52,7556.43,20.26,24141.4,20.34,9.34,9.85,100.47,19761.16,91096.72,8.33,10.98,24.32,18.92,14.77,36.52,13.72,20.15,20.98,21.33,206.32,78.14,40.37,2.74,17.44,77568.3,18.61,73517.41,26461.18,15.58,13709.47,-98143.47,-74821.38,-874.24,-168360.9,9.34,9.18,2,-167614.86,-268905.13,-406304.51,1.79,39.1
Pradhin,530095,,Trading,44.97,30.39,34.42,1.48,8.99,0,0.59,6000,1.7,-70.64,5.16,10.49,-3.47,0.54,4.61,-42.27,-32.43,640,63.21,18.38,22.56,9.9,3.29,4.1,8.49,16.53,17.81,-8.72,7.36,-72.98,17.06,-22.69,-0.21,0.54,-22.86,0.2,0.02,-0.11,0,-0.11,5.16,4.68,0,-0.13,-0.17,-1.55,2.47,13.1
Praj Industries,522205,PRAJIND,Engineering,745.6,49.93,44.94,15.42,32.81,0.13,91.93,4.34,1018.56,1.45,27.73,29.29,10.73,274.59,3466.28,38.5,24.88,16.29,50.33,35.52,29.89,18.77,17.76,21.66,23.34,82.19,27.18,42.96,9.96,-1.75,3528.04,20.96,308.14,283.39,13.4,160.73,110.9,126.82,-8.87,406.94,27.73,21.88,0.8,549.18,788.94,923.33,10.75,38.51
Prataap Snacks,540724,DIAMONDYD,Food - Processing - Indian,906,40.22,39.71,22.25,64.27,0.11,12.38,-42.71,388.1,0.38,4.85,10.76,8.71,53.79,1617.94,16.99,8.17,164.19,36.91,3.77,14.13,25.82,4.6,4.72,7.66,14.66,4.57,2.69,5.59,-2.12,1652.93,8.84,62.68,53.12,13.76,28.97,54.92,-2.29,2.92,67.36,4.85,5.17,0.11,252.34,394.76,487.85,2.98,-23.47
Precot,,PRECOT,Textiles - Cotton/Blended,492.4,47.38,28.02,13.98,61.5,0.89,12.14,179.33,259.51,9.04,9.57,6.4,6.42,12.47,977.76,13.7,4.35,143.89,-27.11,28.46,13.09,-5.25,5.53,7.25,3.03,171.15,29.84,73.86,1.34,2.51,953.82,5.34,29.62,16.78,2.85,20.79,47.53,21.34,-10.03,68.33,9.57,8.6,0,225.84,313.17,399.4,1.41,55.06
Prestige Estates,533274,PRESTIGE,Construction,1782.45,52.07,37.63,34.28,65.48,1.19,235.9,-69.53,2164,-17.77,11.15,14.87,31.72,1374.1,7877.1,2.84,8.78,90.59,43.74,31.75,26.66,15.98,8.63,9.14,12.92,201.96,81.86,45.75,3.84,-5.27,8315,7.41,2087.8,1628.7,11.94,693.43,-603,-110.7,-612.1,-844.2,11.15,11.48,0.08,4976.7,9042.4,10876.1,6.33,29.33
Privi Speci.,530117,PRIVISCL,Chemicals,1589.75,63.41,42.14,25.03,74.05,0.98,34.34,388.33,475.61,17.34,9.52,12.32,19.12,97.88,1712.06,10.9,46.95,328.73,-0.67,35,40.47,18.01,12.51,8.93,11.23,44.49,7.25,29.3,4.32,8.51,1577.84,37.37,183.64,97.88,27.41,86.54,259.2,-87.36,-16.12,-129.63,9.52,14.34,0.13,431.22,798.94,848.61,6.75,42.02
PSP Projects,540544,PSPPROJECT,Construction,700.8,22.44,39.83,34.42,60.14,0.5,15.25,-67.07,649.17,-10.76,26.24,19.1,10.62,123.9,2462.5,25.67,18.72,-7.79,14.24,6.48,16.93,28.53,20.24,18.99,14.45,-3.3,16.37,5.4,6.56,27.81,1926.65,29.61,227.71,123.9,27.89,126.4,-367.9,-35.71,6.26,-358.41,26.24,28.26,0.36,-63.15,26.72,124.44,2.74,-6.14
PTC India,532524,PTC,Trading,219.02,14.72,34.42,14.43,16.22,0.84,96.17,-19.08,3507.39,-1.84,9.42,9.64,6.34,440.51,16763.22,-2.96,2.04,0.2,-1.58,0.71,1.05,2.1,9.67,9.54,8.67,97.05,29.5,27.86,3.14,4.96,15970.6,1.3,1355.02,483.55,3.4,442.94,2447.83,3574.07,-276.2,9061.44,9.42,9.66,3.56,9074.85,14476.49,12931,1.26,4.74
Punjab Chemicals,506618,PUNJABCHEM,Pesticides / Agrochemicals - Indian,1388.3,31.61,42.15,43.7,39.22,0.37,2.41,-24.69,196.53,0.76,32.9,22.7,12.14,53.58,934.23,11.27,7.76,-12.67,3.07,19.58,25.1,28.87,26.57,26.71,17.54,59.33,0.39,18.54,8.53,-7.15,1006.21,8.59,123,53.58,6.16,50.96,-1.45,22.14,0.32,23,32.9,30.81,0.22,122.41,199.66,329.51,5.16,12.57
Punjab Natl.Bank,532461,PNB,Banks - Public Sector,122.39,14.81,9.46,8.27,73.15,13.15,3363.02,79.27,28682.32,18.01,4.53,5.46,63.67,9102.91,109064.58,10,15.9,171.99,52.35,24.17,33.86,9.68,4.44,5.4,8.54,101.96,43.99,10.42,0.59,25.58,86845.29,12.42,45343.69,9157.15,9.27,3861.75,-29083.09,22039.71,23134.6,12452.56,4.53,4.71,1.23,14684.99,32842.3,-2431.81,1.22,29.1
Puravankara,532891,PURVA,Construction,500,281.44,37.63,1.78,75,1.77,-6.71,-124.72,919.97,136.5,10.06,9.9,20.85,42,2185.26,31.39,1.28,-28.5,133.06,-18.12,-13.87,-12.52,3.39,4.14,2.17,382.8,72.9,48.56,0.39,76.83,1235.77,6.49,229.73,42,5.25,65.83,842.04,137.63,99.09,1124.25,10.06,9.63,1.26,1175.23,1997.59,1837.84,6.29,115.22
PVR Inox,532689,PVRINOX,Entertainment / Electronic Media Software,1459.6,,44.59,-3.26,27.84,1.13,-129.7,60.66,1256.4,9.9,1.7,4.82,29.64,-32,6107.1,179.4,14.63,90.52,25.1,,,,-9.79,-6.6,-0.44,2.54,1.9,-3.02,-0.2,62.83,3750.65,16.32,1047.69,-32.7,16.31,-321.61,1352.1,229.96,-168.86,1624.38,1.7,2.1,0,3009.69,3384.05,4659.95,1.95,-4.49
Quest Capital,500069,,Finance & Investments,390,19.35,24.42,20.15,75,0,17.31,4.85,22.28,6.35,3.58,3.14,97.96,20.15,26.46,-16.74,9.32,6.84,10.59,9.79,11.7,78.9,2.88,2.73,2.43,44.39,26.52,35.91,2.32,-17.57,32.1,8.84,23.74,20.15,20.71,16.86,19.38,14.87,-0.05,4.91,3.58,3.84,0.64,4.06,-3.09,-6.66,0.4,1.88
R Systems Intl.,532735,RSYSTEMS,Computers - Software - Medium / Small,505,45.41,38.53,11.14,51.93,0.21,27.49,-23.3,416.64,3.11,30.97,26.08,14.78,131.77,1697.09,24.14,19.2,-9.64,19.02,22.45,15.7,10.25,25.15,27.64,24.28,25.59,48.07,64.5,13.08,7.63,1515.83,16.22,199.75,140.11,10.95,112.56,192.67,61.08,1.86,313.31,30.97,28.2,1.35,395.07,584.75,652.39,9.77,-3.84
Radico Khaitan,532497,RADICO,Breweries & Distilleries,1670.2,87.36,32.79,19.13,40.26,0.34,56.79,52.42,1078.68,29.67,13.73,13.15,12.29,255.76,4118.52,20.16,14.82,25.84,-1.86,6.35,17.82,13.4,13.24,11.45,11.29,23.91,28.99,42.17,6.64,31.44,3133.46,13.89,358.76,255.76,11.57,245.39,-56.33,-459.57,21.56,-431.46,13.73,15.7,0.18,627.52,1057.39,1681.86,9.39,0.61
Rajesh Exports,531500,RAJESHEXPO,Diamond Cutting / Jewellery,286.4,25.22,25.05,11.36,54.55,0.04,-31.57,-108.63,91444.97,-20.79,7.65,3.23,0.12,335.53,280676.35,2.81,9.81,-76.57,-26.5,-23.66,-17.07,-0.63,7.92,6.87,2.24,-45.15,-20.97,-16.24,1.49,-17.37,339689.51,2.13,1635.76,335.53,25.4,965.62,-258.63,-258.63,287.62,-609.29,7.65,8.52,0,922.16,-6756.97,-6144.12,0.55,-22.65
Rallis India,500355,RALLIS,Pesticides / Agrochemicals - Indian,337.95,44.58,42.15,7.6,55.08,0.07,-21,69.57,436,-16.63,10.84,11.2,11.82,147.73,2648.38,2.92,5.95,60.51,-12.69,-0.9,-0.15,0.12,10.11,7.94,8.3,61.85,2.37,16.95,5.09,-10.74,2966.97,9.7,220.68,147.87,5.72,161.43,188.46,30.81,33.67,204.55,10.84,13.63,0.74,651.74,1205.98,1280.1,3.59,30.53
Ramco Inds.,532369,RAMCOIND,Cement Products,257.68,21.17,48.58,12.18,54.81,0.06,43.81,-22.13,364.91,4.26,3.95,3.14,10.4,105.72,1501.32,7.47,7.69,-12.22,-27.65,-9.31,-8.57,44.43,5.44,4.64,2.66,54.21,-2.51,5.9,2.34,3.01,1457.52,7.92,152.43,105.72,6.7,194.74,101.8,-109.35,-16.79,13.51,3.95,4.09,0.29,179.7,405.94,620.17,0.55,5.22
Ramkrishna Forg.,532527,RKFORGE,Castings & Forgings,932.1,49.36,34.67,18.89,43.17,0.45,93.85,37.11,1023.26,14.76,17.25,18.66,21.22,341.44,3954.88,45.31,15.42,37.78,152.58,23.22,62.48,44.56,13.78,18.82,17.05,111.79,86.21,58.95,7.56,23.86,3192.9,23.15,693.87,341.44,24.73,163.68,34.29,390.37,8.35,168.31,17.25,12.53,0.21,1409.4,1803.12,2197.65,6.28,17.32
Rategain Travel,543417,RATEGAIN,Computers - Software - Medium / Small,795,64.45,38.53,12.34,51.25,0.01,50.02,48.03,255.81,39.84,10.17,17.34,19.82,145.39,957.03,56.27,29.62,115.62,87.48,75.27,,,6.6,10.09,13.46,80.56,,,10.9,69.35,565.13,,86.62,145.39,,33.1,148.18,47.73,65.83,209.25,10.17,4.07,0,220.54,260.28,,6.52,8.54
Ratnamani Metals,520111,RATNAMANI,Steel - Medium / Small,3639.35,40.95,28.92,88.85,59.77,0.05,193.11,0.32,1495.71,-0.22,24.9,27.79,17.73,622.79,5059.1,30.09,12.93,21.95,31.18,19.75,23.25,,18.74,19.63,21.68,52.61,38.43,41.32,16.03,13.07,4474.4,20,775.68,625.1,,407.86,302.19,172.81,-13.34,48.33,24.9,23.47,0.38,538.7,1299.46,1780.25,8.12,7.18
RattanIndia Pow.,533122,RTNPOWER,Power Generation And Supply,17.15,,40.21,16.57,44.06,0.82,10665.75,106.35,913.96,1.49,8.19,8.18,19.2,-1738.33,3364,29.2,11.83,7.03,-46.41,2.45,,,,,,239.41,30.85,57.83,-12.91,4.11,3231.16,13.45,738.31,8896.75,25.8,-1722.5,1207.19,984.69,33.19,3114.66,8.19,7.47,0,3255.27,4602.08,5652.53,2.11,57.97
Raymond,500330,RAYMOND,Textiles - Products,3077.4,12.26,31.77,246.01,49.1,0.91,229.79,-16.17,2608.5,21.32,21.75,30.93,14.51,1672.42,9019.51,37.81,6.5,177.92,99.41,57.76,78.15,32.81,19.37,30.6,44.5,70.71,94.74,34.23,15.82,9.8,8214.72,7.74,1199.41,1643.07,7.09,504.33,337.23,701.93,9.55,1684.9,21.75,14.11,0.32,2014.93,3109.13,3754.49,4.44,76.67
REC Ltd,532955,RECLTD,Finance - Term-Lending Institutions,611.95,11.39,31.38,53.72,52.63,6.42,4079.09,33.07,12677.18,23.76,9.43,10.05,100.76,14145.46,47504.75,10.14,13.33,26.65,19.06,19.76,12.22,11.55,20.24,21.28,22.19,266.66,77.73,41.28,2.79,20.31,39485.99,10.03,37627.73,14145.46,10.68,9736.56,-57756.69,-37377.43,-179.88,-96000.7,9.43,9.25,2.61,-95900.95,-172125.19,-240500.8,2.32,44.7
Redington,532805,REDINGTON,Trading,207.72,13.37,34.42,15.59,0,0.39,323.89,4.45,22433.41,2.68,24.02,19.46,2.25,1214.31,89345.71,16.2,13.93,-12.66,16.8,17.83,14.81,13.52,18.64,20.48,16.78,10.17,9.31,32.74,5.18,12.56,79376.78,11.73,2202.58,1238.61,12.33,1032.36,1015.72,-3382.43,-1462.22,-1496.57,24.02,21.43,2.98,-1164.92,3297.62,4551.68,2.15,15.59
Regent Enterp.,512624,,Trading,4.7,68.37,34.42,0.19,0,0.06,-0.09,91.01,227.34,29.86,-1.54,0.88,0.1,0.23,670.81,6.45,-9.99,115.54,27.89,-23.19,-13.21,12.86,-2.41,-1.98,0.6,52.1,34.31,15.36,0.31,-9.43,740.66,-3.58,-7.29,0.65,,-0.93,-3.34,0.33,0.26,-4.71,-1.54,-0.2,0,-1.46,-6.19,-4.58,0.41,-9.79
